source_file,sheet,section,metric_label,date,value_raw,value_num,is_percent,is_total,context_left,context_top,context_left_stack,context_top_stack,scenario
202502 Daily Cuarentaytres.xlsx,Daily,,,2025-01-01,13.2971650860215,13.2971650860215,False,False,,1236.636353,,1236.636353|30.7282496989247|2857.727222|44.0254147849462|4094.363575,
202502 Daily Cuarentaytres.xlsx,Daily,,,2024-01-01,0,0.0,False,False,9.54308043988632,0,9.54308043988632|13.2971650860215,0|0|0|0|0,
202502 Daily Cuarentaytres.xlsx,Daily,,,2025-01-01,9.15718922459397,9.15718922459397,False,False,Avg.Spend BV / cover,19733.742779,Avg.Spend BV / cover|0|9.54308043988632,19733.742779|33.0925573141531|71314.461012|42.2497465387471|91048.203791,
202502 Daily Cuarentaytres.xlsx,Daily,,,2024-01-01,9.71292698669152,9.71292698669152,False,False,9.54308043988632,14687.8408091433,9.54308043988632|9.15718922459397|Avg.Spend BV / cover,14687.8408091433|37.2788008731325|56372.8208325418|46.991727859824|71060.6616416851,
202502 Daily Cuarentaytres.xlsx,Daily,,,2025-01-01,0.266666666666667,0.266666666666667,False,False,,13.2971650860215,,13.2971650860215|1236.636353|30.7282496989247|2857.727222|44.0254147849462,
202502 Daily Cuarentaytres.xlsx,Daily,,,2024-01-01,0,0.0,False,False,0.30494623655914,0,0.30494623655914|0.266666666666667,0|0|0|0|0,
202502 Daily Cuarentaytres.xlsx,Daily,,,2025-01-01,0.193162393162393,0.193162393162393,False,False,Occupancy,9.15718922459397,Occupancy|0|0.30494623655914,9.15718922459397|19733.742779|33.0925573141531|71314.461012|42.2497465387471,
202502 Daily Cuarentaytres.xlsx,Daily,,,2024-01-01,0.338974359,0.338974359,False,False,0.3927690476,9.71292698669152,0.3927690476|0.193162393162393|Occupancy,9.71292698669152|14687.8408091433|37.2788008731325|56372.8208325418|46.991727859824,
202502 Daily Cuarentaytres.xlsx,Daily,,,2025-01-01,48,48.0,False,False,,0.266666666666667,,0.266666666666667|13.2971650860215|1236.636353|30.7282496989247|2857.727222,
202502 Daily Cuarentaytres.xlsx,Daily,,,2024-01-01,0,0.0,False,False,54.8903225806452,0,54.8903225806452|48,0|0|0|0|0,
