source_file,section,metric_label,date,value_raw,value_num,is_percent,is_total
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-11,0,0.0,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-12,0,0.0,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-13,0,0.0,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-14,0,0.0,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-15,1815.286248,1815.286248,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-16,973.63612,973.63612,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-17,3217.20906,3217.20906,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-18,7110.667844,7110.667844,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-19,5889.363541,5889.363541,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-20,0,0.0,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-21,2106.636352,2106.636352,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-22,1377.454518,1377.454518,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-23,1139.272684,1139.272684,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-24,2213.800003,2213.800003,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-25,6071.500374,6071.500374,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-26,4765.0499,4765.0499,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-27,-4.900000003e-05,-4.900000003e-05,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-28,1784.909052,1784.909052,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-29,4164.267932,4164.267932,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-30,2874.831757,2874.831757,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-31,3372.818207,3372.818207,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-01,36.35432692,36.35432692,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-02,45.64254192,45.64254192,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-03,42.54834055,42.54834055,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-04,50.64896206,50.64896206,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-05,37.48785997,37.48785997,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-06,39.0823157,39.0823157,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-07,0,0.0,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-08,0,0.0,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-09,0,0.0,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-10,0,0.0,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-11,0,0.0,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-12,0,0.0,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-13,0,0.0,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-14,0,0.0,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-15,50.424618,50.424618,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-16,40.56817167,40.56817167,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-17,45.96012943,45.96012943,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-18,41.82745791,41.82745791,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-19,43.62491512,43.62491512,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-20,0,0.0,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-21,42.99257861,42.99257861,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-22,41.741046,41.741046,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-23,43.81818015,43.81818015,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-24,48.12608702,48.12608702,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-25,42.45804457,42.45804457,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-26,41.79868333,41.79868333,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-27,0,0.0,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-28,43.53436712,43.53436712,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-29,50.1719028,50.1719028,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-30,47.91386262,47.91386262,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,,2025-01-31,45.57862442,45.57862442,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,COMIDA,2025-01-01,6239.25,6239.25,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,COMIDA,2025-01-02,3699.636364,3699.636364,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,COMIDA,2025-01-03,4328,4328.0,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,COMIDA,2025-01-04,4862.068182,4862.068182,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,COMIDA,2025-01-05,4737.727273,4737.727273,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,COMIDA,2025-01-06,5675.749935,5675.749935,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,COMIDA,2025-01-07,0,0.0,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,COMIDA,2025-01-08,0,0.0,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,COMIDA,2025-01-09,0.000147,0.000147,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,COMIDA,2025-01-10,0,0.0,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,COMIDA,2025-01-11,0,0.0,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,COMIDA,2025-01-12,0,0.0,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,COMIDA,2025-01-13,0,0.0,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,COMIDA,2025-01-14,0,0.0,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,COMIDA,2025-01-15,1356.318061,1356.318061,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,COMIDA,2025-01-16,807.272447,807.272447,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,COMIDA,2025-01-17,2444.977246,2444.977246,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,COMIDA,2025-01-18,5431.681457,5431.681457,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,COMIDA,2025-01-19,4725.090806,4725.090806,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,COMIDA,2025-01-20,0,0.0,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,COMIDA,2025-01-21,1552.272728,1552.272728,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,COMIDA,2025-01-22,1037.727241,1037.727241,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,COMIDA,2025-01-23,864.545407,864.545407,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,COMIDA,2025-01-24,1698.500006,1698.500006,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,COMIDA,2025-01-25,4619.727664,4619.727664,False,False
202501 Daily CuarentaytresNEW.xlsx,RESTAURANT,COMIDA,2025-01-26,3821.704442,3821.704442,False,False
