source_file,sheet,section,metric_label,date,value_raw,value_num,is_percent,is_total,context_left,context_top,context_left_stack,context_top_stack,scenario
02_febrero.xlsx,Daily,,,2025-02-28,36.6269195601137,36.6269195601137,False,False,30.7282496989247,3625.25191883702,30.7282496989247,3625.25191883702|46.17|4569.805026|98.9778|0.549876666666667,TODAY
02_febrero.xlsx,Daily,,,2024-02-29,0,0.0,False,False,36.6269195601137,0,36.6269195601137|30.7282496989247,0|0|0|0|0,MONTH_TO_DATE
02_febrero.xlsx,Daily,,,2025-02-28,33.0925573141531,33.0925573141531,False,False,Avg.Spend FD / cover,71314.461012,Avg.Spend FD / cover|0|36.6269195601137,71314.461012|42.2497465387471|91048.203791|2155|0.443415637860082,TODAY
02_febrero.xlsx,Daily,,,2025-02-28,36.6269195601137,36.6269195601137,False,False,33.0925573141531,60420.8653139504,33.0925573141531|Avg.Spend FD / cover|0,60420.8653139504|46.17|76163.4171|1649.63|0.3927690476,TODAY
02_febrero.xlsx,Daily,,,2024-02-29,37.2788008731325,37.2788008731325,False,False,36.6269195601137,56372.8208325418,36.6269195601137|33.0925573141531|Avg.Spend FD / cover,56372.8208325418|46.991727859824|71060.6616416851|1512.19512195122|0.3563218391,MONTH_TO_DATE
02_febrero.xlsx,Daily,,,2025-02-28,1236.636353,1236.636353,False,False,,30.7282496989247,,30.7282496989247|2857.727222|44.0254147849462|4094.363575|93,TODAY
02_febrero.xlsx,Daily,,,2025-02-28,944.55310716298,944.55310716298,False,False,1236.636353,36.6269195601137,1236.636353,36.6269195601137|3625.25191883702|46.17|4569.805026|98.9778,TODAY
02_febrero.xlsx,Daily,,,2024-02-29,0,0.0,False,False,944.55310716298,0,944.55310716298|1236.636353,0|0|0|0|0,MONTH_TO_DATE
02_febrero.xlsx,Daily,,,2025-02-28,19733.742779,19733.742779,False,False,Beverage Revenue,33.0925573141531,Beverage Revenue|0|944.55310716298,33.0925573141531|71314.461012|42.2497465387471|91048.203791|2155,TODAY
02_febrero.xlsx,Daily,,,2025-02-28,15742.5517860497,15742.5517860497,False,False,19733.742779,36.6269195601137,19733.742779|Beverage Revenue|0,36.6269195601137|60420.8653139504|46.17|76163.4171|1649.63,TODAY
02_febrero.xlsx,Daily,,,2024-02-29,14687.8408091433,14687.8408091433,False,False,15742.5517860497,37.2788008731325,15742.5517860497|19733.742779|Beverage Revenue,37.2788008731325|56372.8208325418|46.991727859824|71060.6616416851|1512.19512195122,MONTH_TO_DATE
02_febrero.xlsx,Daily,,,2025-02-28,13.2971650860215,13.2971650860215,False,False,,1236.636353,,1236.636353|30.7282496989247|2857.727222|44.0254147849462|4094.363575,TODAY
02_febrero.xlsx,Daily,,,2025-02-28,9.54308043988632,9.54308043988632,False,False,13.2971650860215,944.55310716298,13.2971650860215,944.55310716298|36.6269195601137|3625.25191883702|46.17|4569.805026,TODAY
02_febrero.xlsx,Daily,,,2024-02-29,0,0.0,False,False,9.54308043988632,0,9.54308043988632|13.2971650860215,0|0|0|0|0,MONTH_TO_DATE
02_febrero.xlsx,Daily,,,2025-02-28,9.15718922459397,9.15718922459397,False,False,Avg.Spend BV / cover,19733.742779,Avg.Spend BV / cover|0|9.54308043988632,19733.742779|33.0925573141531|71314.461012|42.2497465387471|91048.203791,TODAY
02_febrero.xlsx,Daily,,,2025-02-28,9.54308043988632,9.54308043988632,False,False,9.15718922459397,15742.5517860497,9.15718922459397|Avg.Spend BV / cover|0,15742.5517860497|36.6269195601137|60420.8653139504|46.17|76163.4171,TODAY
02_febrero.xlsx,Daily,,,2024-02-29,9.71292698669152,9.71292698669152,False,False,9.54308043988632,14687.8408091433,9.54308043988632|9.15718922459397|Avg.Spend BV / cover,14687.8408091433|37.2788008731325|56372.8208325418|46.991727859824|71060.6616416851,MONTH_TO_DATE
02_febrero.xlsx,Daily,,,2025-02-28,0.266666666666667,0.266666666666667,False,False,,13.2971650860215,,13.2971650860215|1236.636353|30.7282496989247|2857.727222|44.0254147849462,TODAY
02_febrero.xlsx,Daily,,,2025-02-28,0.30494623655914,0.30494623655914,False,False,0.266666666666667,9.54308043988632,0.266666666666667,9.54308043988632|944.55310716298|36.6269195601137|3625.25191883702|46.17,TODAY
02_febrero.xlsx,Daily,,,2024-02-29,0,0.0,False,False,0.30494623655914,0,0.30494623655914|0.266666666666667,0|0|0|0|0,MONTH_TO_DATE
02_febrero.xlsx,Daily,,,2025-02-28,0.193162393162393,0.193162393162393,False,False,Occupancy,9.15718922459397,Occupancy|0|0.30494623655914,9.15718922459397|19733.742779|33.0925573141531|71314.461012|42.2497465387471,TODAY
02_febrero.xlsx,Daily,,,2025-02-28,0.3927690476,0.3927690476,False,False,0.193162393162393,9.54308043988632,0.193162393162393|Occupancy|0,9.54308043988632|15742.5517860497|36.6269195601137|60420.8653139504|46.17,TODAY
02_febrero.xlsx,Daily,,,2024-02-29,0.338974359,0.338974359,False,False,0.3927690476,9.71292698669152,0.3927690476|0.193162393162393|Occupancy,9.71292698669152|14687.8408091433|37.2788008731325|56372.8208325418|46.991727859824,MONTH_TO_DATE
02_febrero.xlsx,Daily,,,2025-02-28,48,48.0,False,False,,0.266666666666667,,0.266666666666667|13.2971650860215|1236.636353|30.7282496989247|2857.727222,TODAY
02_febrero.xlsx,Daily,,,2025-02-28,54.8903225806452,54.8903225806452,False,False,48,0.30494623655914,48,0.30494623655914|9.54308043988632|944.55310716298|36.6269195601137|3625.25191883702,TODAY
02_febrero.xlsx,Daily,,,2024-02-29,0,0.0,False,False,54.8903225806452,0,54.8903225806452|48,0|0|0|0|0,MONTH_TO_DATE
02_febrero.xlsx,Daily,,,2025-02-28,452,452.0,False,False,Total Covers,0.193162393162393,Total Covers|0|54.8903225806452,0.193162393162393|9.15718922459397|19733.742779|33.0925573141531|71314.461012,TODAY
02_febrero.xlsx,Daily,,,2025-02-28,567.2,567.2,False,False,452,0.3927690476,452|Total Covers|0,0.3927690476|9.54308043988632|15742.5517860497|36.6269195601137|60420.8653139504,TODAY
02_febrero.xlsx,Daily,,,2024-02-29,636.938553276302,636.938553276302,False,False,567.2,0.338974359,567.2|452|Total Covers,0.338974359|9.71292698669152|14687.8408091433|37.2788008731325|56372.8208325418,MONTH_TO_DATE
02_febrero.xlsx,Daily,,,2025-02-28,2591.836316,2591.836316,False,False,,48,,48|0.266666666666667|13.2971650860215|1236.636353|30.7282496989247,TODAY
02_febrero.xlsx,Daily,,,2025-02-28,2534.28619354839,2534.28619354839,False,False,2591.836316,54.8903225806452,2591.836316,54.8903225806452|0.30494623655914|9.54308043988632|944.55310716298|36.6269195601137,TODAY
02_febrero.xlsx,Daily,,,2024-02-29,0,0.0,False,False,2534.28619354839,0,2534.28619354839|2591.836316,0|0|0|0|0,MONTH_TO_DATE
